openness,conscientiousness,extraversion,agreeableness,neuroticism,career,category
78.32,62.78,68.59,70.33,35.4,Journalist,Creative Media and Design
70.56,82.14,56.03,62.98,33.44,Business Analyst,Business Management and Finance
87.57,64.26,60.5,59.13,38.96,UI UX Designer,Creative Media and Design
48.99,94.91,28.31,57.27,30.29,Accountant,Business Management and Finance
95.73,82.14,34.33,59.79,29.45,Researcher,Education and Research
90.66,82.67,44.06,60.7,29.91,Environmental Scientist,Environmental Science
61.88,81.08,59.9,83.95,20.3,Physiotherapist,Healthcare and Medical
64.21,95.12,82.11,57.37,26.55,Lawyer,Law Government and Security
79.05,78.48,42.2,45.09,41.77,Mobile App Developer,Technology and IT
88.05,84.02,30.03,61.66,31.85,Data Scientist,Technology and IT
71.35,96.22,77.33,60.06,24.92,Civil Servant CSS Officer,Law Government and Security
68.38,96.87,36.16,44.45,28.62,Cloud Engineer,Technology and IT
79.73,72.58,74.87,61.84,31.58,Journalist,Creative Media and Design
90.2,88.1,36.56,52.38,34.21,AI Engineer,Technology and IT
85.8,59.29,37.54,49.24,38.34,Video Editor,Creative Media and Design
71.0,83.41,43.91,46.73,30.12,Electrical Engineer,Engineering and Architecture
54.88,77.84,57.71,86.71,33.35,Nutritionist,Healthcare and Medical
66.47,84.76,94.71,63.89,41.27,Sales Manager,Business Management and Finance
68.8,90.91,33.94,56.56,28.98,Cloud Engineer,Technology and IT
88.7,83.08,42.34,53.89,30.52,AI Engineer,Technology and IT
69.98,66.21,62.29,70.99,26.44,Nutritionist,Healthcare and Medical
83.82,76.22,48.97,91.35,35.23,Psychologist,Social and Behavioral Sciences
60.65,82.95,63.43,81.14,31.07,Physiotherapist,Healthcare and Medical
80.57,86.53,38.25,41.98,25.98,Cloud Engineer,Technology and IT
70.22,77.61,69.55,88.53,28.16,Teacher,Education and Research
59.89,75.02,69.32,83.27,37.69,Nutritionist,Healthcare and Medical
82.62,66.22,51.94,51.52,32.71,UI UX Designer,Creative Media and Design
89.7,59.42,61.37,57.81,33.81,UI UX Designer,Creative Media and Design
84.21,73.19,46.62,61.39,24.45,Web Developer,Technology and IT
74.82,99.07,58.82,61.13,9.19,Pilot,Law Government and Security
54.87,92.05,29.57,36.87,29.85,Accountant,Business Management and Finance
80.62,61.71,50.56,65.18,43.07,Graphic Designer,Creative Media and Design
83.05,88.87,59.72,74.41,22.75,Professor,Education and Research
92.49,74.99,55.4,83.84,34.9,Psychologist,Social and Behavioral Sciences
91.73,57.28,43.81,56.69,46.22,Animator,Creative Media and Design
60.72,91.72,32.02,54.55,19.03,Medical Laboratory Technologist,Healthcare and Medical
80.45,82.45,44.07,52.78,29.87,Web Developer,Technology and IT
99.18,79.05,53.95,69.08,29.01,Architect,Engineering and Architecture
86.38,65.33,49.13,86.28,35.65,Psychologist,Social and Behavioral Sciences
89.12,75.67,49.62,75.38,28.3,Architect,Engineering and Architecture
87.17,77.34,51.47,77.23,35.67,Architect,Engineering and Architecture
72.5,77.89,94.33,74.68,29.85,Sales Manager,Business Management and Finance
74.02,93.12,72.27,73.45,20.41,Civil Servant CSS Officer,Law Government and Security
60.32,80.54,91.62,58.88,33.01,Sales Manager,Business Management and Finance
87.15,79.86,40.33,55.85,44.85,Video Editor,Creative Media and Design
81.2,58.86,38.48,60.28,36.99,Animator,Creative Media and Design
63.98,93.94,62.97,65.73,24.03,Judge,Law Government and Security
69.02,87.42,41.16,58.23,37.13,Mechanical Engineer,Engineering and Architecture
76.92,69.16,41.53,55.27,44.0,Video Editor,Creative Media and Design
70.08,94.77,46.99,56.47,33.08,Civil Engineer,Engineering and Architecture
71.15,87.76,47.18,59.31,30.05,Financial Analyst,Business Management and Finance
66.23,84.78,61.93,90.21,24.92,Physiotherapist,Healthcare and Medical
68.41,81.98,46.24,44.79,19.02,Mechanical Engineer,Engineering and Architecture
68.35,90.06,48.86,54.76,33.09,Industrial Engineer,Engineering and Architecture
58.7,94.44,32.08,63.88,13.44,Medical Laboratory Technologist,Healthcare and Medical
71.74,87.12,77.73,54.58,32.21,Lawyer,Law Government and Security
68.8,93.15,54.67,54.26,20.09,Industrial Engineer,Engineering and Architecture
100.0,83.48,36.09,54.73,24.58,Researcher,Education and Research
58.42,89.58,69.46,63.4,17.27,Police Officer,Law Government and Security
70.76,83.38,40.21,60.14,33.0,Mobile App Developer,Technology and IT
78.14,72.28,78.51,54.31,33.08,Digital Marketing Specialist,Creative Media and Design
61.06,100.0,34.83,71.72,21.23,Radiologist,Healthcare and Medical
61.54,93.2,35.11,76.4,34.01,Radiologist,Healthcare and Medical
72.9,87.24,39.23,50.88,32.01,Electrical Engineer,Engineering and Architecture
62.3,91.48,62.0,65.66,23.29,Surgeon,Healthcare and Medical
75.06,92.84,89.15,50.39,30.46,Lawyer,Law Government and Security
60.56,81.08,46.73,64.4,23.44,Civil Engineer,Engineering and Architecture
72.27,89.27,42.37,57.64,27.72,Cloud Engineer,Technology and IT
62.34,93.99,30.61,50.05,24.77,Cloud Engineer,Technology and IT
85.13,91.34,43.07,61.96,25.3,Software Engineer,Technology and IT
99.2,65.4,85.81,56.22,32.86,Entrepreneur,Business Management and Finance
75.97,78.34,69.07,72.13,25.85,Lecturer,Education and Research
70.4,83.36,36.47,45.48,25.14,Chemical Engineer,Engineering and Architecture
76.67,89.86,48.46,50.47,26.52,DevOps Engineer,Technology and IT
87.03,81.2,47.78,60.5,31.38,Environmental Scientist,Environmental Science
80.01,73.2,77.48,62.05,37.01,Digital Marketing Specialist,Creative Media and Design
66.92,79.85,58.82,84.28,32.56,Physiotherapist,Healthcare and Medical
88.4,89.82,38.8,56.09,26.36,Machine Learning Engineer,Technology and IT
81.64,87.23,33.14,57.23,26.31,Chemical Engineer,Engineering and Architecture
87.15,60.43,83.67,53.6,33.04,Digital Marketing Specialist,Creative Media and Design
56.15,95.92,60.32,62.17,19.41,Surgeon,Healthcare and Medical
68.09,92.53,52.66,58.55,30.6,DevOps Engineer,Technology and IT
57.38,87.46,67.14,55.26,16.01,Army Officer,Law Government and Security
65.65,87.92,27.69,48.62,25.14,Database Administrator,Technology and IT
79.8,88.16,70.13,60.99,13.49,Civil Servant CSS Officer,Law Government and Security
76.56,78.3,68.24,72.53,30.54,Lecturer,Education and Research
72.49,87.57,32.99,53.98,24.17,Chemical Engineer,Engineering and Architecture
59.79,73.81,59.34,84.54,26.1,Nutritionist,Healthcare and Medical
72.93,95.62,85.62,74.95,24.55,Project Manager,Business Management and Finance
72.59,98.75,61.95,58.48,19.42,Judge,Law Government and Security
85.79,59.81,46.54,69.15,42.02,Graphic Designer,Creative Media and Design
64.67,83.7,72.33,64.35,19.8,Police Officer,Law Government and Security
58.22,96.57,23.84,65.06,26.85,Medical Laboratory Technologist,Healthcare and Medical
63.66,93.68,33.06,45.92,25.11,Cloud Engineer,Technology and IT
73.2,88.16,70.26,85.5,17.47,Doctor,Healthcare and Medical
87.14,97.96,46.65,48.73,29.62,AI Engineer,Technology and IT
70.82,86.14,38.77,47.99,19.77,Civil Engineer,Engineering and Architecture
78.89,74.2,47.54,62.27,33.14,Video Editor,Creative Media and Design
59.27,80.51,61.61,79.51,38.52,Nutritionist,Healthcare and Medical
74.9,82.99,75.44,51.89,29.59,Lawyer,Law Government and Security
77.0,78.85,77.52,85.46,24.37,Teacher,Education and Research
89.97,81.98,37.83,72.63,31.16,Environmental Scientist,Environmental Science
69.46,81.78,42.66,62.18,30.08,Civil Engineer,Engineering and Architecture
77.1,62.34,77.89,69.07,30.49,Journalist,Creative Media and Design
94.31,70.42,67.81,71.24,34.79,UI UX Designer,Creative Media and Design
71.51,72.96,87.02,91.46,30.99,HR Manager,Business Management and Finance
75.27,66.17,65.36,90.91,25.28,Social Worker,Social and Behavioral Sciences
59.89,86.95,25.28,67.08,25.83,Medical Laboratory Technologist,Healthcare and Medical
76.58,71.78,47.38,53.51,36.8,Web Developer,Technology and IT
93.06,89.35,37.37,58.28,31.07,AI Engineer,Technology and IT
81.09,76.5,77.51,60.39,38.5,Digital Marketing Specialist,Creative Media and Design
60.7,85.83,48.99,68.92,20.33,Surgeon,Healthcare and Medical
66.26,92.84,58.4,71.4,25.77,Judge,Law Government and Security
78.75,89.31,71.37,73.23,29.97,Professor,Education and Research
84.84,91.68,39.86,61.21,32.73,AI Engineer,Technology and IT
84.3,80.72,65.71,68.8,25.82,Professor,Education and Research
70.6,66.61,51.45,100.0,29.51,Social Worker,Social and Behavioral Sciences
61.58,85.5,46.02,68.63,28.84,Dentist,Healthcare and Medical
72.64,82.33,50.48,63.67,17.6,Business Analyst,Business Management and Finance
91.27,75.83,87.3,64.0,35.95,Entrepreneur,Business Management and Finance
69.0,94.49,37.35,48.54,26.06,Cybersecurity Analyst,Technology and IT
72.56,92.31,61.76,64.56,23.17,Civil Servant CSS Officer,Law Government and Security
94.29,75.57,64.11,88.43,33.74,Psychologist,Social and Behavioral Sciences
89.28,76.24,39.88,68.04,30.65,Environmental Scientist,Environmental Science
74.51,86.98,32.27,60.8,25.79,Radiologist,Healthcare and Medical
62.69,91.32,34.36,62.62,29.2,Medical Laboratory Technologist,Healthcare and Medical
85.7,67.3,82.31,66.86,37.85,Journalist,Creative Media and Design
67.55,82.89,64.6,87.4,23.81,Nurse,Healthcare and Medical
86.63,77.27,59.04,74.74,27.83,Professor,Education and Research
88.74,76.58,41.32,71.52,44.07,Content Writer,Creative Media and Design
67.69,69.99,94.08,62.28,35.87,Sales Manager,Business Management and Finance
62.62,89.74,45.83,64.32,25.35,Mechanical Engineer,Engineering and Architecture
83.08,87.24,69.03,72.18,24.93,Professor,Education and Research
59.81,100.0,53.97,73.4,22.93,Dentist,Healthcare and Medical
74.2,81.71,36.91,52.76,24.64,Chemical Engineer,Engineering and Architecture
85.78,88.91,47.33,69.68,33.99,Architect,Engineering and Architecture
69.67,87.73,48.54,70.98,25.3,Dentist,Healthcare and Medical
81.19,56.51,85.92,64.57,33.51,Marketing Manager,Business Management and Finance
69.61,83.98,73.59,85.71,30.35,Teacher,Education and Research
82.36,86.56,66.28,73.97,29.36,Professor,Education and Research
65.49,91.13,60.66,85.52,40.14,Nutritionist,Healthcare and Medical
89.48,65.0,81.86,56.08,38.98,Entrepreneur,Business Management and Finance
81.92,75.34,84.88,61.45,39.47,Entrepreneur,Business Management and Finance
61.55,96.78,31.0,64.49,25.37,Chemical Engineer,Engineering and Architecture
57.82,79.59,63.53,96.89,17.65,Nurse,Healthcare and Medical
90.35,74.32,30.93,52.45,42.65,Video Editor,Creative Media and Design
78.85,84.56,42.7,58.48,27.04,Machine Learning Engineer,Technology and IT
64.83,85.39,54.83,69.41,29.62,Dentist,Healthcare and Medical
87.44,85.41,34.44,63.45,28.91,Researcher,Education and Research
54.64,99.57,68.02,71.07,16.55,Army Officer,Law Government and Security
56.28,78.76,52.44,85.18,33.77,Physiotherapist,Healthcare and Medical
73.98,85.27,92.13,64.67,44.04,Sales Manager,Business Management and Finance
67.34,75.46,75.73,70.56,36.25,Nutritionist,Healthcare and Medical
59.39,88.74,53.39,71.51,20.52,Pharmacist,Healthcare and Medical
75.02,87.31,88.75,89.62,29.04,Teacher,Education and Research
67.06,66.76,40.29,58.66,42.68,Mobile App Developer,Technology and IT
50.09,98.9,39.51,46.76,26.4,Accountant,Business Management and Finance
76.54,71.17,36.95,56.07,37.43,Video Editor,Creative Media and Design
64.01,65.66,85.48,64.79,34.42,Sales Manager,Business Management and Finance
70.74,93.14,29.7,53.05,26.14,Financial Analyst,Business Management and Finance
63.22,80.73,68.62,85.65,29.19,Physiotherapist,Healthcare and Medical
83.77,74.33,37.64,57.48,32.1,Web Developer,Technology and IT
63.82,89.64,43.53,49.12,16.97,Cybersecurity Analyst,Technology and IT
86.76,69.43,51.2,95.68,40.92,Psychologist,Social and Behavioral Sciences
66.36,84.09,30.56,56.82,45.37,Web Developer,Technology and IT
64.74,88.09,50.59,82.21,29.43,Dentist,Healthcare and Medical
72.08,92.46,66.03,81.25,21.72,Lecturer,Education and Research
64.03,100.0,69.96,64.35,27.02,Judge,Law Government and Security
83.71,67.37,49.67,62.76,36.48,Content Writer,Creative Media and Design
68.33,85.16,35.79,47.44,25.3,Cybersecurity Analyst,Technology and IT
57.19,96.0,27.25,53.25,23.95,Accountant,Business Management and Finance
70.93,93.8,78.34,68.52,19.0,Project Manager,Business Management and Finance
92.7,75.5,54.7,56.93,42.95,Web Developer,Technology and IT
84.75,75.7,39.09,67.56,31.14,Environmental Scientist,Environmental Science
71.42,91.63,50.03,57.1,20.59,Mechanical Engineer,Engineering and Architecture
89.13,62.1,80.87,62.42,38.66,Entrepreneur,Business Management and Finance
73.42,89.66,61.55,67.73,28.47,Civil Servant CSS Officer,Law Government and Security
72.06,96.43,42.8,51.12,28.81,DevOps Engineer,Technology and IT
68.03,93.3,69.12,83.21,31.05,Doctor,Healthcare and Medical
82.29,85.06,87.33,48.38,36.99,Lawyer,Law Government and Security
90.21,71.37,77.57,56.48,29.12,Digital Marketing Specialist,Creative Media and Design
78.04,78.78,44.83,59.62,28.98,Electrical Engineer,Engineering and Architecture
83.56,59.39,40.19,62.51,32.7,Content Writer,Creative Media and Design
73.04,85.99,39.4,52.26,40.42,Cloud Engineer,Technology and IT
85.76,82.88,63.75,74.7,25.24,Civil Servant CSS Officer,Law Government and Security
63.91,87.44,35.61,51.69,27.28,Database Administrator,Technology and IT
63.84,92.59,37.68,60.6,27.14,Radiologist,Healthcare and Medical
91.23,77.62,49.75,62.33,27.89,Architect,Engineering and Architecture
89.08,82.6,29.28,64.91,28.03,Researcher,Education and Research
70.52,93.42,40.29,62.78,30.81,Chemical Engineer,Engineering and Architecture
72.23,85.58,65.67,76.39,25.13,Doctor,Healthcare and Medical
85.05,74.07,88.95,68.49,33.77,Marketing Manager,Business Management and Finance
68.15,93.19,31.7,39.96,31.87,Cybersecurity Analyst,Technology and IT
70.37,77.78,72.22,91.25,37.31,Academic Advisor,Education and Research
78.26,77.28,81.6,55.82,37.23,Marketing Manager,Business Management and Finance
62.47,83.55,60.09,46.88,36.9,Industrial Engineer,Engineering and Architecture
61.61,85.5,66.14,93.43,25.25,Nurse,Healthcare and Medical
81.47,71.9,75.05,50.46,29.57,Digital Marketing Specialist,Creative Media and Design
62.78,91.33,60.27,92.28,22.44,Doctor,Healthcare and Medical
64.29,78.69,66.42,89.84,38.59,Physiotherapist,Healthcare and Medical
93.82,81.98,36.62,60.57,33.9,Researcher,Education and Research
58.11,84.53,31.37,79.53,32.06,Pharmacist,Healthcare and Medical
69.15,100.0,50.44,53.14,7.61,Pilot,Law Government and Security
74.32,84.83,33.76,61.19,34.32,DevOps Engineer,Technology and IT
76.81,86.08,43.36,56.03,29.03,Electrical Engineer,Engineering and Architecture
88.75,71.29,39.85,58.24,30.73,Mobile App Developer,Technology and IT
78.94,91.64,39.09,49.16,31.64,Data Scientist,Technology and IT
73.03,86.84,37.22,56.69,31.25,Cloud Engineer,Technology and IT
73.34,78.07,92.24,65.64,26.55,Sales Manager,Business Management and Finance
67.94,84.08,54.4,84.51,33.5,Physiotherapist,Healthcare and Medical
53.39,89.6,71.48,58.37,21.51,Police Officer,Law Government and Security
64.27,79.97,57.45,66.89,24.36,Dentist,Healthcare and Medical
69.7,94.94,63.53,88.96,24.14,Doctor,Healthcare and Medical
65.91,90.39,28.88,55.54,35.71,Database Administrator,Technology and IT
62.18,79.18,43.27,59.79,27.32,Financial Analyst,Business Management and Finance
72.39,76.23,50.98,64.89,36.03,Mobile App Developer,Technology and IT
63.68,96.29,45.45,76.07,24.98,Dentist,Healthcare and Medical
71.5,91.59,33.71,66.09,32.9,Medical Laboratory Technologist,Healthcare and Medical
73.87,89.67,65.35,88.36,20.63,Doctor,Healthcare and Medical
68.67,86.59,67.77,74.41,31.89,Nutritionist,Healthcare and Medical
62.24,88.44,49.18,65.38,22.6,Civil Engineer,Engineering and Architecture
69.7,63.69,58.68,87.22,42.08,Social Worker,Social and Behavioral Sciences
89.97,88.51,35.26,48.96,33.48,Data Scientist,Technology and IT
62.03,94.1,35.69,38.67,30.87,Database Administrator,Technology and IT
71.53,89.31,42.64,63.78,38.71,Civil Engineer,Engineering and Architecture
61.63,95.33,27.97,48.89,23.34,Database Administrator,Technology and IT
82.69,92.44,65.25,73.55,27.11,Professor,Education and Research
88.16,62.32,52.79,65.92,36.14,Photographer,Creative Media and Design
65.19,85.1,29.15,61.38,31.13,Cloud Engineer,Technology and IT
77.34,76.08,37.39,57.23,38.28,Mobile App Developer,Technology and IT
63.67,73.98,63.07,85.2,37.53,Academic Advisor,Education and Research
89.7,71.3,23.16,55.31,44.31,Video Editor,Creative Media and Design
48.63,84.83,69.57,53.45,22.42,Police Officer,Law Government and Security
68.79,87.05,60.28,78.95,25.39,Lecturer,Education and Research
86.99,77.07,50.3,62.64,39.87,Architect,Engineering and Architecture
67.69,99.08,43.31,55.19,20.91,Cybersecurity Analyst,Technology and IT
77.42,72.46,87.79,62.9,33.1,Sales Manager,Business Management and Finance
82.96,65.76,61.64,91.32,29.81,Psychologist,Social and Behavioral Sciences
77.16,90.06,52.07,63.07,28.6,DevOps Engineer,Technology and IT
77.47,87.17,63.1,66.38,26.34,Business Analyst,Business Management and Finance
68.09,95.93,48.78,75.21,17.32,Surgeon,Healthcare and Medical
71.43,84.56,39.28,45.15,24.37,Cloud Engineer,Technology and IT
66.54,92.94,37.87,55.58,23.82,Radiologist,Healthcare and Medical
77.53,92.83,72.72,71.02,21.7,Civil Servant CSS Officer,Law Government and Security
82.1,82.82,80.34,47.64,32.47,Lawyer,Law Government and Security
83.87,78.73,79.48,62.29,40.72,Entrepreneur,Business Management and Finance
63.67,100.0,70.66,56.71,15.42,Army Officer,Law Government and Security
61.42,98.67,27.32,50.23,28.05,Database Administrator,Technology and IT
56.83,86.12,71.19,65.7,24.82,Police Officer,Law Government and Security
89.13,71.4,92.03,66.47,38.77,Marketing Manager,Business Management and Finance
87.46,66.59,60.12,59.64,37.61,Graphic Designer,Creative Media and Design
62.12,84.14,42.37,54.14,22.81,Financial Analyst,Business Management and Finance
87.84,64.57,62.75,58.32,33.75,UI UX Designer,Creative Media and Design
63.2,77.4,63.23,99.67,24.69,Social Worker,Social and Behavioral Sciences
80.51,68.77,62.38,67.98,31.79,Architect,Engineering and Architecture
67.26,90.5,47.81,85.13,24.21,Surgeon,Healthcare and Medical
68.05,88.48,80.41,49.49,31.25,Lawyer,Law Government and Security
58.62,76.27,68.31,83.57,34.62,Physiotherapist,Healthcare and Medical
97.08,68.91,45.23,92.06,37.81,Psychologist,Social and Behavioral Sciences
73.13,92.65,67.12,69.39,20.74,Civil Servant CSS Officer,Law Government and Security
94.49,86.79,34.04,54.35,33.01,Machine Learning Engineer,Technology and IT
81.48,71.12,41.4,53.61,35.34,Video Editor,Creative Media and Design
61.83,79.76,56.51,91.44,32.35,Physiotherapist,Healthcare and Medical
81.09,90.59,30.81,77.76,32.82,Environmental Scientist,Environmental Science
65.47,96.9,33.52,66.46,27.34,Radiologist,Healthcare and Medical
52.14,89.05,65.8,59.56,21.25,Army Officer,Law Government and Security
94.67,55.71,47.26,67.23,33.51,Content Writer,Creative Media and Design
91.33,85.28,34.63,60.64,31.0,Data Scientist,Technology and IT
72.06,84.33,40.13,64.19,26.21,Electrical Engineer,Engineering and Architecture
62.52,80.39,45.99,46.16,21.12,Financial Analyst,Business Management and Finance
66.01,78.57,65.19,96.62,14.84,Nurse,Healthcare and Medical
90.65,88.98,41.36,61.91,23.72,AI Engineer,Technology and IT
81.37,86.16,40.87,50.67,42.82,Mobile App Developer,Technology and IT
97.29,71.69,47.51,59.65,41.39,Architect,Engineering and Architecture
78.92,69.06,50.11,65.89,30.68,Content Writer,Creative Media and Design
86.91,76.83,76.73,95.47,24.25,HR Manager,Business Management and Finance
68.21,100.0,48.16,78.58,6.04,Surgeon,Healthcare and Medical
78.29,69.62,46.61,61.04,39.52,Web Developer,Technology and IT
92.02,83.43,38.31,51.65,23.61,Researcher,Education and Research
94.88,64.88,87.54,63.97,21.75,Digital Marketing Specialist,Creative Media and Design
91.6,62.63,56.82,65.75,34.47,UI UX Designer,Creative Media and Design
65.04,74.96,55.2,85.85,29.85,Physiotherapist,Healthcare and Medical
58.17,94.96,63.56,59.01,18.33,Pilot,Law Government and Security
87.49,64.4,76.46,60.28,31.43,Journalist,Creative Media and Design
95.3,68.95,60.46,59.97,43.3,Graphic Designer,Creative Media and Design
69.78,80.42,41.28,51.39,19.42,Electrical Engineer,Engineering and Architecture
78.38,59.83,79.33,69.07,36.46,Journalist,Creative Media and Design
64.07,98.44,65.4,61.75,15.66,Army Officer,Law Government and Security
83.68,88.74,45.73,49.49,29.83,Software Engineer,Technology and IT
49.27,88.68,57.94,64.1,26.07,Police Officer,Law Government and Security
65.59,91.06,37.46,44.88,23.87,Financial Analyst,Business Management and Finance
62.29,81.66,65.56,87.86,23.97,Physiotherapist,Healthcare and Medical
81.0,65.11,77.91,57.07,33.34,Digital Marketing Specialist,Creative Media and Design
64.3,71.31,65.65,75.3,38.81,Nutritionist,Healthcare and Medical
66.51,98.67,32.39,63.67,26.27,Radiologist,Healthcare and Medical
91.59,59.01,56.85,48.75,38.18,Photographer,Creative Media and Design
92.23,65.98,49.92,63.29,37.57,Graphic Designer,Creative Media and Design
51.74,96.33,69.08,63.34,20.24,Police Officer,Law Government and Security
64.38,100.0,46.27,74.48,20.78,Surgeon,Healthcare and Medical
65.61,81.02,47.38,67.84,25.45,Judge,Law Government and Security
83.0,86.87,42.12,74.76,37.73,Environmental Scientist,Environmental Science
63.65,77.74,61.83,84.73,37.15,Physiotherapist,Healthcare and Medical
90.85,88.04,47.97,61.05,27.96,Machine Learning Engineer,Technology and IT
87.18,57.07,44.08,61.94,32.37,Graphic Designer,Creative Media and Design
68.3,87.18,37.62,58.28,19.87,Mechanical Engineer,Engineering and Architecture
68.08,67.58,67.07,95.31,22.98,Social Worker,Social and Behavioral Sciences
50.2,91.54,30.13,41.03,29.15,Accountant,Business Management and Finance
79.93,77.79,49.15,95.83,25.83,Social Worker,Social and Behavioral Sciences
83.27,86.01,74.7,76.51,34.51,Lecturer,Education and Research
63.06,99.67,41.33,73.99,28.39,Pharmacist,Healthcare and Medical
62.27,88.83,28.57,44.61,21.0,Accountant,Business Management and Finance
50.6,75.91,68.34,62.55,13.87,Army Officer,Law Government and Security
87.36,83.05,42.25,75.05,27.5,Environmental Scientist,Environmental Science
76.67,89.07,44.99,49.48,33.99,Electrical Engineer,Engineering and Architecture
78.6,76.98,87.98,68.65,16.61,Project Manager,Business Management and Finance
69.83,78.63,49.16,64.15,24.79,Web Developer,Technology and IT
71.8,98.73,51.46,77.88,18.39,Surgeon,Healthcare and Medical
68.56,74.75,63.01,84.41,28.05,Academic Advisor,Education and Research
64.66,89.37,45.57,59.34,36.19,Civil Engineer,Engineering and Architecture
74.03,82.77,92.01,59.84,42.51,Sales Manager,Business Management and Finance
87.56,62.59,47.29,57.15,43.48,Animator,Creative Media and Design
77.5,94.66,75.17,69.33,29.15,Civil Servant CSS Officer,Law Government and Security
69.39,88.6,49.04,59.04,29.82,Civil Engineer,Engineering and Architecture
86.3,55.8,48.24,54.88,41.3,Photographer,Creative Media and Design
76.55,88.68,39.11,59.97,32.88,DevOps Engineer,Technology and IT
82.99,84.87,50.54,61.91,25.82,Data Scientist,Technology and IT
60.4,100.0,49.48,72.03,20.62,Surgeon,Healthcare and Medical
65.6,84.34,61.4,78.44,34.14,Nutritionist,Healthcare and Medical
71.42,93.91,48.9,87.52,31.83,Doctor,Healthcare and Medical
69.48,83.65,57.45,83.06,25.75,Nurse,Healthcare and Medical
56.89,91.89,35.06,75.72,26.16,Pharmacist,Healthcare and Medical
57.54,85.12,28.8,49.68,18.64,Accountant,Business Management and Finance
73.39,70.54,37.36,54.22,26.52,Mobile App Developer,Technology and IT
72.9,85.83,42.26,58.6,20.28,Electrical Engineer,Engineering and Architecture
71.39,100.0,59.92,80.99,23.45,Doctor,Healthcare and Medical
77.33,75.83,57.27,96.51,33.15,Academic Advisor,Education and Research
85.39,67.05,59.61,94.0,28.92,Psychologist,Social and Behavioral Sciences
86.79,67.69,41.32,53.3,35.3,Video Editor,Creative Media and Design
63.24,91.29,58.08,64.73,32.51,Industrial Engineer,Engineering and Architecture
71.46,72.26,80.14,88.38,24.85,HR Manager,Business Management and Finance
72.75,88.82,62.94,88.17,24.3,Doctor,Healthcare and Medical
54.82,93.91,30.29,49.32,32.13,Accountant,Business Management and Finance
63.36,79.06,90.92,58.83,39.76,Sales Manager,Business Management and Finance
78.42,68.43,90.0,67.42,32.68,Sales Manager,Business Management and Finance
69.46,85.64,50.54,81.35,7.41,Surgeon,Healthcare and Medical
71.83,94.58,43.29,74.6,24.68,Surgeon,Healthcare and Medical
87.23,77.39,81.53,61.26,38.37,Marketing Manager,Business Management and Finance
59.74,82.66,53.16,87.02,29.66,Physiotherapist,Healthcare and Medical
60.79,82.05,32.54,78.41,21.78,Pharmacist,Healthcare and Medical
67.83,82.77,73.46,83.19,38.94,Teacher,Education and Research
91.54,51.51,45.49,60.41,47.42,Graphic Designer,Creative Media and Design
64.24,94.67,52.63,66.79,27.2,Dentist,Healthcare and Medical
68.36,81.81,61.75,59.3,28.2,Business Analyst,Business Management and Finance
54.73,88.15,26.64,70.16,23.7,Radiologist,Healthcare and Medical
57.31,81.65,42.58,76.33,25.03,Dentist,Healthcare and Medical
73.83,82.18,69.04,76.5,30.11,Lecturer,Education and Research
75.19,58.99,50.58,55.28,33.0,Photographer,Creative Media and Design
69.96,95.37,51.44,65.27,21.46,Surgeon,Healthcare and Medical
58.43,91.09,50.44,72.07,18.31,Dentist,Healthcare and Medical
52.6,91.62,27.48,44.42,28.46,Database Administrator,Technology and IT
75.49,99.42,54.99,61.62,18.1,Industrial Engineer,Engineering and Architecture
69.38,73.55,64.67,94.39,29.56,Academic Advisor,Education and Research
54.31,90.81,37.59,72.67,20.64,Pharmacist,Healthcare and Medical
70.64,80.89,38.87,59.78,34.62,Civil Engineer,Engineering and Architecture
80.0,81.18,57.36,81.41,30.67,Lecturer,Education and Research
82.37,62.67,85.78,58.25,31.67,Journalist,Creative Media and Design
71.07,86.31,38.56,60.93,31.18,Mechanical Engineer,Engineering and Architecture
54.08,85.77,22.64,52.12,28.23,Database Administrator,Technology and IT
84.89,88.24,35.21,59.91,24.11,AI Engineer,Technology and IT
86.06,73.97,96.86,61.34,32.57,Marketing Manager,Business Management and Finance
63.85,78.4,59.79,57.57,24.2,Business Analyst,Business Management and Finance
52.15,88.62,32.89,49.77,32.51,Database Administrator,Technology and IT
81.25,89.05,50.66,81.87,24.62,Doctor,Healthcare and Medical
77.95,74.26,45.0,58.26,40.21,Web Developer,Technology and IT
84.32,70.6,51.55,67.3,27.77,Content Writer,Creative Media and Design
77.18,80.84,87.46,90.03,29.89,HR Manager,Business Management and Finance
69.31,88.16,47.12,48.01,31.93,Electrical Engineer,Engineering and Architecture
71.4,94.23,37.49,38.28,21.6,Financial Analyst,Business Management and Finance
88.28,71.67,34.0,64.16,41.44,Video Editor,Creative Media and Design
67.89,93.37,66.2,59.1,22.7,Judge,Law Government and Security
79.35,86.7,41.35,58.91,35.4,DevOps Engineer,Technology and IT
66.4,73.09,72.87,82.69,37.81,Teacher,Education and Research
64.69,91.38,28.51,64.51,26.28,Radiologist,Healthcare and Medical
70.64,92.0,47.82,49.94,30.06,Mechanical Engineer,Engineering and Architecture
68.4,79.34,77.08,95.92,29.19,HR Manager,Business Management and Finance
53.36,93.45,32.95,68.82,26.26,Medical Laboratory Technologist,Healthcare and Medical
93.41,73.58,47.83,61.26,40.84,Content Writer,Creative Media and Design
74.04,84.28,42.7,67.22,32.9,Cybersecurity Analyst,Technology and IT
